Date,Fundflow
2020-03-04, 0.0
2020-03-05, 0.0
2020-03-08, 0.0
2020-03-09, 0.0
2020-03-10, 0.0
2020-03-11, 0.0
2020-03-12, -0.002810762
2020-03-15, -0.0468704195
2020-03-16, -0.02737635
2020-03-17, -0.005445407
2020-03-18, 0.0
2020-03-19, -0.027067985
2020-03-22, 0.0
2020-03-23, -0.0627587545
2020-03-24, 0.0
2020-03-25, -0.005431125
2020-03-26, -0.03824646
2020-03-29, 0.0
2020-03-30, 0.0
2020-03-31, 0.0
2020-04-01, 0.0
2020-04-02, 0.0
2020-04-05, 0.0
2020-04-06, 0.0
2020-04-07, 0.0
2020-04-08, 0.0
2020-04-12, 0.0
2020-04-13, 0.0
2020-04-14, -0.049326858
2020-04-15, 0.0
2020-04-16, 0.0
2020-04-19, 0.0082524705
2020-04-20, 0.0
2020-04-21, 0.0
2020-04-22, 0.0
2020-04-23, 0.0082466295
2020-04-26, 0.0
2020-04-27, 0.0
2020-04-28, 0.0
2020-04-29, 0.0
2020-04-30, 0.0
2020-05-03, 0.02767531
2020-05-04, 0.0
2020-05-05, 0.0
2020-05-06, 0.0
2020-05-07, 0.0
2020-05-10, 0.01104028
2020-05-11, 0.0
2020-05-12, 0.0578944485
2020-05-13, 0.0
2020-05-14, 0.0
2020-05-17, 0.0
2020-05-18, 0.0
2020-05-19, 0.0
2020-05-20, 0.0
2020-05-21, 0.01382914
2020-05-25, 0.0
2020-05-26, 0.0
2020-05-27, 0.0
2020-05-28, 0.024908859
2020-05-31, 0.0
2020-06-01, 0.060700013
2020-06-02, 0.0
2020-06-03, 0.0
2020-06-04, 0.0
2020-06-07, 0.0
2020-06-08, 0.0
2020-06-09, 0.005506497
2020-06-10, 0.011026096
2020-06-11, 0.0
2020-06-14, 0.0
2020-06-15, 0.0
2020-06-16, 0.0
2020-06-17, 0.0
2020-06-18, 0.0
2020-06-21, 0.0
2020-06-22, 0.011092346
2020-06-23, 0.0
2020-06-24, 0.0
2020-06-25, 0.0
2020-06-28, 0.0
2020-06-29, 0.0
2020-06-30, 0.0
2020-07-01, 0.038688209
2020-07-05, 0.035996597
2020-07-06, 0.0
2020-07-07, 0.0
2020-07-08, 0.016621185
2020-07-09, 0.0
2020-07-12, 0.033272766
2020-07-13, 0.0027661575
2020-07-14, 0.0
2020-07-15, 0.0
2020-07-16, 0.0
2020-07-19, 0.0
2020-07-20, 0.03334215
2020-07-21, 0.011127168
2020-07-22, 0.0
2020-07-23, 0.0
2020-07-26, 0.0
2020-07-27, 0.0
2020-07-28, 0.0
2020-07-29, 0.0
2020-07-30, 0.0027938885
2020-08-02, 0.0
2020-08-03, 0.0
2020-08-04, 0.0
2020-08-05, 0.011143274
2020-08-06, 0.0
2020-08-09, 0.002787121
2020-08-10, 0.0
2020-08-11, 0.011129604
2020-08-12, 0.0
2020-08-13, 0.0
2020-08-16, 0.088761296
2020-08-17, 0.0
2020-08-18, 0.02780081
2020-08-19, 0.0
2020-08-20, 0.0
2020-08-23, 0.033386238
2020-08-24, 0.0
2020-08-25, 0.0
